qsrank	schoolname	qsstars	overall	academic	employer	faculty	international	internationalstudents	citations	arts	engineering	life	natural	social
230	National Chiao Tung University		47.50	36.80	34.00	59.50	51.30	47.20	62.10	0.00	68.30	0.00	65.20	55.30
231	Politecnico di Milano		47.50	64.00	90.60	16.70	28.70	42.30	29.00	52.80	79.80	0.00	0.00	0.00
232	University of Miami		47.30	27.40	25.80	95.90	12.30	40.00	59.20	48.80	0.00	68.40	58.90	53.80
233	Charles University		47.10	57.10	54.30	53.10	13.60	62.00	21.10	60.90	56.80	62.00	66.40	59.80
234	Indian Institute of Technology Bombay (IITB)		47.10	58.90	89.20	28.10	3.80	1.20	43.00	0.00	75.50	0.00	68.90	57.10
235	University of Milano 		46.80	63.20	56.10	19.00	10.80	10.70	54.20	62.30	62.00	73.40	68.70	61.10
236	University of Iowa		46.50	42.50	25.30	48.10	12.60	34.90	74.00	57.50	0.00	68.20	61.70	58.70
237	Westfälische Wilhelms-Universität Münster 		46.50	51.30	60.20	53.40	28.00	20.50	33.40	59.20	59.10	68.30	72.60	61.60
238	University of Canterbury	5	46.20	46.20	67.70	20.90	100.00	66.10	41.70	52.00	67.90	0.00	64.40	61.20
239	Chulalongkorn University		46.10	73.80	60.80	36.60	15.30	3.70	10.20	0.00	68.70	61.40	64.70	67.80
240	Indiana University Bloomington		45.90	61.50	51.70	34.50	1.20	31.50	37.30	68.00	56.90	68.30	64.00	69.20
241	Saint-Petersburg State University		45.90	49.70	40.30	97.90	5.20	24.30	3.60	0.00	0.00	0.00	63.20	0.00
242	University of Liege	4	45.90	37.20	42.80	59.80	46.00	66.20	44.90	51.50	67.40	65.20	64.20	53.40
243	Universität zu Köln		45.70	55.00	67.30	16.30	30.90	33.50	51.60	61.10	0.00	68.60	66.80	66.10
244	Dalhousie University		45.60	38.30	19.60	31.60	89.10	55.20	73.00	50.20	0.00	62.90	59.20	55.60
245	Loughborough University		45.60	41.50	76.60	38.00	84.70	77.30	27.40	51.80	66.60	0.00	59.20	63.90
246	Simon Fraser University		45.60	41.80	43.70	11.40	94.40	85.00	65.30	56.00	60.10	53.30	64.50	64.10
247	National Cheng Kung University		45.50	48.70	40.40	47.90	20.80	32.40	47.90	46.80	69.40	60.60	65.20	61.10
248	Universität Stuttgart		45.40	41.10	59.90	75.70	34.00	64.80	13.60	43.60	72.10	0.00	70.10	0.00
249	Hanyang University		45.30	32.40	50.20	96.00	27.30	69.00	15.60	0.00	62.10	52.90	58.40	0.00
250	American University of Beirut (AUB)		45.10	26.30	79.20	66.90	95.90	84.90	20.30	0.00	59.60	0.00	0.00	56.80
251	Norwegian University of Science And Technology		45.00	44.90	44.70	44.90	73.10	30.90	40.90	44.70	66.80	56.10	63.80	54.20
252	Beijing Normal University 		44.80	56.40	39.40	44.50	72.10	28.60	21.00	66.00	0.00	0.00	61.90	64.70
253	King Saud University		44.70	43.30	35.20	86.10	96.40	17.80	3.80	0.00	63.70	55.50	58.60	58.40
254	University of Oulu		44.70	32.50	21.00	83.20	65.00	14.50	44.30	0.00	62.40	62.90	0.00	56.20
255	Kyung Hee University		44.50	36.80	72.00	83.60	21.10	47.60	11.50	0.00	57.50	58.50	57.70	58.00
256	Rutgers, The State University of New Jersey, New Brunswick		44.50	52.80	25.20	38.30	37.20	21.00	50.70	57.40	60.50	64.30	72.80	57.10
257	University of Strathclyde	5	44.40	40.50	66.70	37.90	83.30	69.00	30.80	42.80	66.90	0.00	61.90	64.90
258	Universität Ulm		44.00	18.00	18.20	92.60	29.10	38.20	64.90	0.00	56.90	58.00	61.10	0.00
259	University of Pisa	4	43.90	59.90	41.90	7.80	13.10	10.40	64.20	59.50	62.90	62.90	71.90	53.10
260	Technische Universität Darmstadt		43.80	36.90	81.60	34.90	64.20	63.10	37.10	41.00	74.10	0.00	69.10	0.00
261	University of Massachusetts, Amherst		43.50	49.70	40.10	26.60	27.00	15.90	60.10	60.10	66.00	59.30	69.50	59.00
262	Technische Universität Dresden		43.40	46.50	59.80	32.40	28.60	32.00	45.60	41.30	72.80	65.60	70.30	0.00
263	Macquarie University		43.30	42.30	72.40	15.70	99.80	94.40	30.50	61.40	0.00	55.60	63.30	64.70
264	Vienna University of Technology		43.20	45.20	67.70	20.00	60.50	89.80	33.20	38.30	68.90	0.00	68.20	0.00
265	Royal Holloway University of London		43.10	34.20	38.70	34.40	95.40	98.40	43.90	66.00	0.00	0.00	0.00	55.00
266	Victoria University of Wellington		43.10	48.60	66.30	19.40	100.00	71.90	22.20	59.80	58.30	0.00	59.90	65.80
267	University of Padua		42.90	62.90	43.60	22.40	3.70	10.70	40.30	64.00	64.30	68.20	70.40	59.70
268	University of California, Riverside		42.80	37.90	14.50	22.60	77.90	39.00	78.50	52.20	60.50	63.70	69.90	0.00
269	Universiti Kebangsaan Malaysia (UKM)		42.70	48.00	36.50	58.50	93.00	44.60	5.70	0.00	59.20	0.00	0.00	57.00
270	Yeshiva University		42.70	5.80	10.50	97.60	1.80	23.70	92.10	0.00	0.00	64.60	0.00	0.00
271	University of Utah		42.50	25.20	23.90	55.30	28.60	28.00	80.10	41.80	61.60	66.10	68.30	53.80
272	University of Technology, Sydney	5	42.40	41.30	81.60	25.60	95.50	92.00	15.20	54.10	65.40	0.00	0.00	64.40
273	Universität Konstanz		42.30	47.70	36.50	46.00	56.80	36.10	27.90	60.00	0.00	53.90	0.00	58.90
274	Universidad de Los Andes Colombia		42.20	59.90	73.00	32.00	39.30	3.60	11.00	0.00	0.00	0.00	0.00	62.20
275	Université Paris Descartes		42.20	37.90	28.40	21.50	19.20	51.30	81.10	0.00	0.00	75.90	0.00	0.00
276	Tokyo Medical and Dental University 		42.10	12.90	17.40	100.00	7.00	19.30	68.60	0.00	0.00	70.10	0.00	0.00
277	University of Wollongong	5	42.10	28.40	81.70	36.30	99.80	76.00	31.90	52.40	69.00	0.00	64.40	61.30
278	Universität Erlangen-Nürnberg		42.00	38.80	26.90	57.50	41.20	23.70	44.60	48.70	66.80	66.90	71.70	0.00
279	Queensland University of Technology	5	41.90	44.80	75.40	21.20	95.00	54.70	22.80	48.70	70.00	56.90	61.20	65.60
280	Tecnológico de Monterrey (ITESM)	5	41.90	42.60	84.60	56.20	55.20	30.40	3.60	0.00	61.00	0.00	0.00	61.90
281	Universität Mannheim		41.80	31.80	85.30	18.00	21.80	14.20	74.80	0.00	0.00	0.00	0.00	72.60
282	Universitat Pompeu Fabra		41.80	41.40	40.40	40.80	78.80	42.50	34.10	55.70	0.00	53.40	0.00	67.50
283	Mahidol University		41.60	47.80	29.20	79.10	14.30	7.50	12.70	0.00	0.00	66.00	0.00	55.00
284	Curtin University		41.50	39.30	68.20	28.50	100.00	99.40	15.90	48.90	65.40	0.00	64.30	61.60
285	National University of Ireland, Galway	5	41.50	36.10	44.30	50.00	92.50	56.70	25.10	49.00	62.80	57.80	59.60	57.80
286	Universidade Federal do Rio de Janeiro		41.50	63.10	32.30	43.30	14.40	5.70	15.90	52.70	62.90	60.40	64.40	60.90
287	University of Surrey		41.50	34.40	44.30	35.50	93.40	98.60	32.30	42.20	62.90	0.00	0.00	57.90
288	Hong Kong Baptist University		41.40	27.20	25.90	75.50	87.50	74.80	22.80	0.00	0.00	0.00	0.00	58.20
289	Umeå University		41.30	32.90	29.40	65.20	45.80	4.30	47.50	51.30	0.00	67.50	0.00	55.60
290	Universität Innsbruck		41.30	47.40	38.00	20.50	93.70	98.50	23.30	0.00	0.00	0.00	62.70	0.00
291	RMIT University	5	41.20	40.10	84.60	23.60	100.00	99.90	9.00	49.90	69.00	0.00	0.00	61.80
292	University of Eastern Finland		41.20	23.90	19.40	80.80	37.90	12.20	54.50	0.00	0.00	65.20	0.00	0.00
293	Arizona State University		40.90	55.20	36.90	13.10	11.30	21.80	53.60	60.00	66.10	63.40	68.60	64.70
294	Christian-Albrechts-Universität zu Kiel		40.90	31.20	30.80	16.80	55.50	21.10	89.90	49.90	0.00	66.20	60.70	0.00
295	Indian Institute of Technology Kanpur (IITK)		40.70	43.90	64.70	25.60	1.50	1.20	56.30	0.00	71.60	0.00	65.40	0.00
296	National Yang Ming University		40.70	17.30	17.10	99.10	11.30	11.30	54.90	0.00	0.00	64.70	0.00	0.00
297	Johannes Gutenberg Universität Mainz		40.50	38.80	32.80	15.30	37.80	40.70	72.90	54.50	0.00	62.00	72.50	0.00
298	The University of Newcastle	5	40.40	42.50	54.70	23.00	94.60	45.20	31.10	51.50	67.00	59.30	58.70	56.70
299	Al-Farabi Kazakh National University	3	40.20	39.30	35.60	91.30	26.80	18.60	1.10	0.00	0.00	0.00	0.00	0.00
300	École des Ponts ParisTech		40.20	18.00	56.00	99.90	30.10	91.70	5.80	0.00	0.00	0.00	0.00	0.00
301	University of Jyväskylä		40.20	33.10	27.90	92.90	31.70	12.00	16.50	52.50	0.00	0.00	60.00	59.10
302	University at Buffalo SUNY		40.10	30.30	9.10	18.90	38.00	68.10	89.40	48.00	0.00	60.00	0.00	0.00
303	L.N. Gumilyov Eurasian National University 		40.00	38.30	32.00	99.70	15.70	6.90	1.10	0.00	0.00	0.00	0.00	0.00
304	Kobe University		39.70	39.30	40.70	63.90	8.70	14.80	29.20	43.70	0.00	60.10	60.70	55.40
305	North Carolina State University		39.70	37.50	48.30	27.80	10.50	25.10	62.00	40.70	67.70	64.90	69.80	55.00
306	University of Tromso		39.60	22.40	4.50	95.50	41.60	28.00	37.10	46.80	0.00	56.00	0.00	0.00
307	Hiroshima University		39.50	34.20	18.00	86.20	8.80	14.70	27.20	0.00	0.00	0.00	58.90	0.00
308	University of California, Santa Cruz		39.50	39.60	0.00	21.70	36.50	3.80	85.90	43.20	0.00	0.00	58.30	0.00
309	Université Bordeaux 1, Sciences Technologies		39.40	32.10	26.80	57.60	49.80	50.80	35.70	0.00	62.80	0.00	69.50	0.00
310	University of Indonesia		39.40	48.80	67.40	56.30	24.80	4.40	1.50	0.00	0.00	0.00	0.00	0.00
311	Universität  Leipzig		39.30	42.30	21.40	16.40	14.30	30.40	72.80	53.50	0.00	63.30	63.50	0.00
312	University of Southern Denmark		39.30	29.60	35.40	53.60	48.80	56.20	39.20	51.00	57.00	0.00	0.00	58.10
313	Indian Institute of Technology Madras (IITM)		39.20	40.30	74.60	29.80	2.10	1.30	46.60	0.00	74.00	0.00	66.60	0.00
314	University of The Witwatersrand		39.20	44.30	43.70	23.30	84.20	26.50	34.00	60.10	0.00	60.30	57.90	61.40
315	University of Navarra		39.00	26.60	50.00	70.70	33.50	49.00	24.90	49.40	0.00	59.90	0.00	57.30
316	Virginia Polytechnic Institute (Virginia Tech)		38.90	38.60	52.70	38.10	30.00	24.70	38.50	0.00	71.90	60.30	66.00	55.40
317	Universidad Austral - Argentina		38.80	31.80	49.50	93.30	8.90	22.10	3.70	0.00	0.00	0.00	0.00	0.00
318	Universidad Carlos III de Madrid		38.80	43.50	61.90	54.30	30.00	28.40	6.30	50.60	64.10	0.00	0.00	70.00
319	University of Mississippi		38.80	8.80	4.10	98.50	10.00	51.70	59.70	0.00	0.00	0.00	0.00	0.00
320	Università¡ degli Studi di Roma - Tor Vergata		38.70	51.10	33.20	10.80	3.90	15.70	58.20	53.50	59.40	62.50	66.50	55.60
321	Iowa State University		38.60	34.30	24.00	34.30	38.20	34.90	59.10	39.80	60.00	60.30	69.20	0.00
322	Pontificia Universidad Católica Argentina Santa María de los Buenos Aires - UCA		38.60	41.10	71.80	65.60	0.00	28.60	1.20	0.00	0.00	0.00	0.00	0.00
323	University of Victoria		38.60	32.40	23.70	16.40	89.80	33.00	68.70	50.80	0.00	0.00	63.90	56.00
324	Brandeis University		38.50	24.20	15.90	39.30	18.40	72.20	73.60	0.00	0.00	0.00	0.00	0.00
325	Julius-Maximilians-Universität Würzburg		38.40	33.30	11.40	42.40	32.90	16.00	64.30	0.00	0.00	67.90	65.70	0.00
326	Universidad Nacional de Colombia		38.40	64.20	73.10	17.90	11.50	2.00	5.00	0.00	61.40	0.00	0.00	58.90
327	George Washington University		38.30	39.90	40.80	40.80	3.10	43.50	38.20	55.80	58.80	65.70	0.00	64.90
328	University of Hawaii at Mañoa 		38.30	26.00	6.90	60.40	31.70	23.40	61.40	45.40	0.00	56.60	61.70	0.00
329	Laval University		38.20	35.70	33.60	29.30	37.70	36.70	54.30	50.30	61.90	66.00	62.90	56.40
330	Wake Forest University		38.20	10.10	0.00	99.70	7.00	13.50	65.40	0.00	0.00	54.70	0.00	0.00
331	Ben Gurion University of The Negev		38.10	32.00	25.40	56.80	79.60	14.30	33.00	44.30	56.90	54.50	59.10	0.00
332	Boston College		38.10	32.10	54.80	36.70	81.40	52.80	28.10	56.90	0.00	0.00	0.00	63.00
333	Linköping University		38.10	32.80	55.60	52.30	39.00	17.90	29.90	46.60	66.50	60.60	62.40	54.80
334	Aalborg University	5	38.00	34.10	59.20	40.00	70.80	52.70	20.50	46.00	72.70	0.00	0.00	63.10
335	Bauman Moscow State Technical University		38.00	27.80	58.50	100.00	1.00	12.50	1.10	0.00	0.00	0.00	0.00	0.00
336	Ecole Normale Supérieure de Cachan		38.00	31.30	0.00	85.00	26.60	35.80	26.20	0.00	60.40	0.00	0.00	0.00
337	SOAS - School of Oriental and African Studies, University of London 		37.90	34.90	37.40	46.70	99.90	100.00	3.40	67.60	0.00	0.00	0.00	61.50
338	Stony Brook University		37.80	25.30	10.40	47.60	31.70	54.90	63.10	0.00	0.00	59.10	58.40	0.00
339	University of Essex		37.80	37.20	30.40	26.20	98.00	98.60	23.50	54.80	0.00	0.00	0.00	66.70
340	University of Warsaw 		37.80	53.40	57.60	38.50	9.50	7.80	9.70	0.00	60.40	0.00	69.40	60.90
341	Griffith University	5	37.70	34.80	54.10	27.50	92.60	87.00	18.90	52.70	0.00	54.40	0.00	64.90
342	University of South Australia	5	37.70	33.00	52.60	37.10	100.00	70.40	16.00	0.00	64.10	0.00	0.00	59.70
343	Massey University	4	37.30	36.50	49.20	33.30	93.00	41.00	21.60	44.40	58.10	56.70	60.50	58.50
344	University of Porto		37.30	50.10	41.10	25.80	10.50	10.90	33.80	52.90	67.90	61.70	66.40	62.90
345	Universitat Politècnica de Catalunya 		37.20	38.10	32.00	65.60	14.20	37.60	14.40	44.90	72.90	0.00	61.90	0.00
346	Indian Institute of Technology Kharagpur (IITKGP)		37.10	36.00	59.00	26.00	0.00	1.00	57.00	0.00	70.80	0.00	66.10	52.80
347	City University London		37.00	33.30	64.00	23.70	87.80	99.70	15.10	0.00	57.30	0.00	0.00	62.20
348	American University in Cairo		36.90	33.30	69.50	54.50	97.40	0.00	3.50	0.00	0.00	0.00	0.00	55.40
349	Dublin City University		36.80	25.40	54.50	44.70	86.90	61.00	23.70	46.00	61.30	0.00	58.80	0.00
350	Pontificia Universidad Javeriana		36.80	49.70	67.30	45.00	8.20	4.10	2.10	0.00	0.00	0.00	0.00	55.20
351	James Cook University		36.50	22.00	32.50	36.30	93.60	48.00	49.70	0.00	0.00	59.00	58.10	0.00
352	Novosibirsk State University		36.20	32.70	24.80	87.30	4.90	35.30	5.20	0.00	0.00	0.00	0.00	0.00
353	Rensselaer Polytechnic Institute		36.10	17.30	21.50	41.40	8.40	40.10	81.20	0.00	68.50	0.00	61.60	0.00
354	Universidade Nova de Lisboa		36.10	35.20	51.70	44.60	46.80	34.00	19.00	53.30	61.80	53.50	61.10	62.40
355	Université Aix-Marseille		36.00	48.10	28.20	27.90	7.70	47.50	27.30	45.30	0.00	68.60	65.80	56.90
356	Universiti Sains Malaysia (USM)		36.00	48.10	42.60	33.80	20.30	39.30	13.20	0.00	67.10	54.30	63.90	65.40
357	Universiti Teknologi Malaysia (UTM)		36.00	32.20	40.60	62.20	37.10	79.60	3.20	0.00	62.40	0.00	0.00	54.80
358	Université Paris Dauphine		35.90	35.00	93.70	18.20	55.60	92.50	6.90	0.00	0.00	0.00	0.00	66.10
359	University of Coimbra	4	35.90	46.30	31.50	19.80	6.10	51.20	36.30	49.00	60.80	60.00	58.80	57.30
360	Brunel University		35.80	24.40	35.30	28.50	95.60	95.90	35.70	48.20	62.30	0.00	0.00	54.10
361	King Abdul Aziz University (KAU)		35.80	38.20	29.20	53.20	77.30	48.70	2.70	0.00	57.70	0.00	0.00	0.00
362	Ewha Womans University		35.60	30.90	43.70	59.50	23.20	45.70	16.90	0.00	0.00	54.00	58.90	54.00
363	Nankai University		35.50	37.30	41.20	46.50	3.30	24.00	28.40	0.00	62.00	0.00	70.80	56.30
364	Taipei Medical University		35.50	24.70	32.30	56.70	27.90	16.00	43.40	0.00	0.00	63.30	0.00	0.00
365	Universität Jena		35.50	32.50	18.20	40.00	21.40	18.30	52.70	38.40	0.00	60.70	64.10	0.00
366	Ruhr-Universität Bochum		35.40	35.80	35.20	33.10	42.30	44.40	32.60	50.30	61.00	60.60	66.40	0.00
367	University of Texas at  Dallas 		35.40	23.00	26.10	16.20	15.60	70.90	79.30	44.70	63.80	57.20	57.90	57.50
368	Washington State University		35.40	36.80	20.80	32.20	72.30	19.70	37.20	44.50	57.20	60.40	62.90	0.00
369	Heriot-Watt University		35.30	19.00	46.00	35.30	96.50	99.30	30.70	0.00	63.20	0.00	0.00	53.40
370	Politecnico di Torino		35.20	42.90	68.60	9.50	2.80	57.80	30.70	42.80	73.90	0.00	65.70	0.00
371	Universität Bremen		35.20	39.70	28.10	47.90	20.60	35.10	20.30	46.80	59.80	0.00	65.30	56.40
372	Xi'an Jiaotong University		35.10	27.60	54.30	72.90	9.70	9.50	14.60	0.00	69.10	0.00	60.30	58.30
373	Tilburg University		34.80	33.50	58.60	21.90	83.30	28.40	27.20	48.90	0.00	0.00	0.00	68.60
374	Birkbeck College, University of London		34.70	35.40	16.20	17.00	92.30	78.80	34.10	67.70	0.00	0.00	0.00	55.70
375	Oxford Brookes University		34.70	36.50	62.90	23.20	60.50	83.70	9.40	54.60	0.00	0.00	0.00	60.40
376	Jagiellonian University		34.60	42.50	49.50	48.30	5.70	9.00	10.40	0.00	0.00	54.70	63.90	57.90
377	University of Kansas		34.60	23.50	25.30	66.00	23.30	25.30	34.40	50.90	0.00	63.90	58.00	53.70
378	University of Tampere		34.60	28.80	32.60	62.20	25.20	8.70	27.70	51.60	0.00	57.70	0.00	64.00
379	University of Florence		34.50	49.30	22.50	24.20	10.60	17.00	31.00	60.50	0.00	63.80	63.80	0.00
380	Deakin University	5	34.40	34.50	52.10	14.40	91.40	69.50	21.70	51.40	58.80	55.70	0.00	63.40
381	University of Connecticut		34.40	22.30	22.70	27.30	79.00	18.50	63.50	38.00	0.00	60.80	0.00	0.00
382	University of the Philippines		34.40	47.40	65.00	39.90	2.30	2.50	3.00	0.00	0.00	0.00	0.00	61.50
383	Universitat Politècnica de València		34.20	34.70	49.50	56.00	7.50	16.00	14.30	43.40	70.70	0.00	64.30	0.00
384	Sun Yat-sen University		34.10	42.60	40.20	29.00	13.50	11.80	29.20	0.00	58.50	61.80	63.50	60.30
385	Université Montpellier 2, Sciences et Techniques du Languedoc		33.90	27.10	19.00	36.30	16.20	40.90	54.80	0.00	61.80	60.10	68.80	0.00
386	Moscow State Institute of International Relations (MGIMO-University)	3	33.80	15.80	46.00	98.70	8.30	48.70	1.00	0.00	0.00	0.00	0.00	0.00
387	Stellenbosch University		33.70	42.20	43.00	16.80	27.80	22.80	32.40	52.50	0.00	57.10	59.80	58.50
388	Tulane University		33.70	17.00	10.40	67.90	16.30	29.00	49.40	0.00	0.00	61.10	0.00	0.00
389	Politécnica de Madrid		33.60	32.70	58.40	51.10	2.90	52.90	7.70	0.00	69.90	0.00	0.00	0.00
390	Instituto Tecnológico de Buenos Aires (ITBA)		33.50	21.80	42.80	98.10	7.90	2.30	1.40	0.00	0.00	0.00	0.00	0.00
391	La Trobe University		33.50	33.30	38.10	24.90	80.90	77.20	17.00	58.60	0.00	54.50	0.00	61.30
392	Université Paul Sabatier Toulouse III		33.50	43.70	0.00	43.70	15.70	33.00	23.70	0.00	61.20	61.50	67.70	0.00
393	University of Tennessee		33.50	18.00	29.70	52.00	13.80	11.10	57.80	40.30	59.40	53.90	65.00	0.00
394	Colorado State University		33.40	26.10	43.90	15.40	23.80	10.50	68.50	38.70	60.00	60.70	66.90	0.00
395	Karl-Franzens-Universität Graz		33.40	40.70	30.30	19.40	61.40	30.30	27.30	0.00	0.00	53.70	58.30	0.00
396	Universität Düsseldorf		33.40	22.60	18.00	48.40	5.90	38.70	52.50	43.60	0.00	67.10	0.00	0.00
397	Northeastern University		33.30	21.50	56.30	34.90	12.50	80.30	36.50	39.50	61.70	52.40	60.00	0.00
398	University of Naples - Federico Ii		33.30	42.70	26.30	8.60	1.80	2.10	57.70	55.40	61.80	62.40	65.30	54.20
399	Aston University		33.20	21.50	46.70	26.40	93.80	93.10	25.80	0.00	0.00	0.00	0.00	57.80
400	University of Turin		33.20	41.00	27.40	11.80	4.80	17.10	52.60	59.70	0.00	65.40	67.40	57.30
401	Beihang University (former BUAA)		32.60	0.00	40.70	83.00	2.10	6.10	10.90	0.00	63.70	0.00	0.00	0.00
402	Indian Institute of Technology Roorkee (IITR)		33.00	0.00	50.70	33.30	0.00	0.00	54.50	0.00	68.50	0.00	62.20	0.00
403	National Central University		33.10	0.00	0.00	52.00	24.90	12.50	35.00	0.00	63.40	0.00	62.40	55.60
404	Oregon State University		32.60	0.00	0.00	33.10	49.70	30.40	52.20	0.00	0.00	62.50	64.20	0.00
405	Sogang University		32.70	0.00	49.50	62.60	18.70	26.90	10.70	0.00	0.00	0.00	0.00	0.00
406	Universität Regensburg		33.00	0.00	0.00	61.20	34.40	13.70	39.50	0.00	0.00	61.50	61.00	0.00
407	Université Lille 1, Sciences et Technologie		32.60	0.00	46.90	34.60	30.90	71.60	21.80	0.00	63.00	0.00	64.50	0.00
408	University of Tasmania	4	33.10	0.00	0.00	39.80	48.10	80.80	28.30	44.50	0.00	55.00	59.00	0.00
409	University of Waikato		32.70	0.00	52.50	24.80	96.80	79.10	18.70	45.80	57.50	0.00	0.00	61.40
410	Wuhan University		32.60	43.90	45.00	36.30	0.00	7.00	14.30	54.10	60.80	55.80	67.40	60.30
411	York University		32.60	41.20	59.00	17.50	45.00	14.70	18.00	61.70	0.00	0.00	60.60	66.00
412	National Taiwan University of Science And Technology (formerly National Taiwan Institute of Technology)		32.50	0.00	0.00	59.50	22.40	23.90	22.40	0.00	67.30	0.00	0.00	53.00
413	The University of Georgia		32.20	32.50	0.00	27.30	2.10	9.60	51.40	0.00	0.00	64.50	63.70	60.90
414	Universidade Federal de São Paulo (UNIFESP)		32.00	0.00	0.00	65.00	11.50	2.40	36.80	0.00	0.00	58.40	0.00	0.00
415	Università  degli Studi di Pavia		32.10	35.30	0.00	15.80	5.30	14.50	55.50	0.00	57.00	61.40	59.20	0.00
416	Universität Bayreuth		32.00	0.00	0.00	54.70	38.90	20.90	26.90	0.00	0.00	0.00	58.70	0.00
417	Université Claude Bernard Lyon 1		32.40	42.90	0.00	23.20	10.40	30.50	42.10	0.00	0.00	61.90	57.80	0.00
418	Université du Québec		32.20	44.60	0.00	30.50	16.20	28.50	12.30	54.40	59.40	57.30	63.10	62.10
419	Universiti Putra Malaysia (UPM)		32.00	38.70	0.00	44.00	13.10	39.40	6.10	0.00	60.80	0.00	58.10	58.40
420	University of Kent		32.10	0.00	0.00	32.30	91.40	84.80	14.00	50.40	0.00	0.00	0.00	56.30
421	University of St Gallen (HSG)		32.30	0.00	93.50	13.90	100.00	94.90	15.70	0.00	0.00	0.00	0.00	69.80
422	Bond University	4	31.80	0.00	0.00	64.30	85.70	95.10	7.80	0.00	0.00	0.00	0.00	0.00
423	Florida State University		31.50	33.10	0.00	18.30	21.20	10.00	49.00	47.40	61.20	56.30	69.80	60.20
424	United Arab Emirates University		31.70	0.00	0.00	35.20	100.00	86.10	11.40	0.00	59.70	0.00	0.00	57.20
425	Universidad de San AndrÃ©s		31.90	0.00	46.10	89.00	12.60	17.40	1.70	0.00	0.00	0.00	0.00	0.00
426	Universidad Nacional de La Plata		31.80	52.60	41.00	27.00	0.00	4.40	4.70	0.00	58.50	0.00	59.60	0.00
427	Universität des Saarlandes		31.80	0.00	0.00	35.60	44.70	58.10	48.20	0.00	0.00	54.20	0.00	0.00
428	University of Missouri, Columbia		31.70	0.00	0.00	46.60	48.60	13.80	34.90	45.30	0.00	64.50	0.00	57.50
429	University of New Mexico		31.80	0.00	0.00	56.30	2.70	8.50	42.90	45.10	0.00	62.40	57.70	0.00
430	University of Saskatchewan		31.70	0.00	0.00	45.90	39.60	46.80	32.00	0.00	57.30	56.30	57.70	0.00
431	American University of Sharjah (AUS)		31.40	0.00	49.30	30.40	100.00	100.00	8.00	0.00	0.00	0.00	0.00	55.40
432	Bilkent University		31.00	0.00	44.10	36.00	62.40	5.10	15.00	0.00	60.70	0.00	0.00	57.40
433	Flinders University		30.80	0.00	0.00	54.10	13.90	55.10	23.40	42.60	0.00	55.10	0.00	0.00
434	Hankuk (Korea) University of Foreign Studies 		31.30	0.00	50.80	74.00	54.30	36.20	1.90	0.00	0.00	0.00	0.00	0.00
435	Middle East Technical University		30.60	39.00	57.00	21.60	8.00	19.90	17.30	47.10	66.90	0.00	64.30	57.50
436	Philipps-Universität Marburg 		31.10	0.00	0.00	45.70	26.90	38.80	31.60	43.70	0.00	58.50	0.00	0.00
437	Swansea University	4	31.10	0.00	0.00	38.70	71.00	64.00	23.10	40.10	0.00	0.00	0.00	0.00
438	Tampere University of Technology 		30.70	0.00	0.00	74.10	0.00	37.40	14.60	0.00	65.40	0.00	0.00	0.00
439	Universität Bielefeld		31.40	39.80	0.00	24.50	28.90	20.00	31.70	51.30	0.00	0.00	0.00	60.90
440	University of Manitoba		31.10	0.00	0.00	45.20	0.00	61.30	37.30	41.20	0.00	59.80	0.00	0.00
441	Chiba University		30.50	0.00	0.00	56.20	6.50	16.20	39.30	0.00	0.00	54.80	0.00	0.00
442	Illinois Institute of Technology		30.30	0.00	0.00	30.50	22.00	99.90	34.70	0.00	59.30	0.00	0.00	0.00
443	Moscow Institute of Physics and Technology State University		30.30	0.00	0.00	99.60	11.20	35.90	2.70	0.00	0.00	0.00	0.00	0.00
444	Tallinn University of Technology		30.30	0.00	46.30	72.30	49.50	26.80	6.70	0.00	0.00	0.00	0.00	0.00
445	Taras Shevchenko National University of Kyiv		30.50	0.00	0.00	94.10	2.50	6.50	2.20	0.00	0.00	0.00	0.00	0.00
446	Tokyo University of Science		30.50	0.00	0.00	5.50	0.00	3.00	77.30	0.00	59.90	0.00	65.30	0.00
447	University of Salamanca		30.40	36.20	42.00	37.80	3.40	13.20	16.20	58.50	0.00	57.00	0.00	55.70
448	University of Trento		30.40	34.20	0.00	10.30	29.50	23.50	47.50	49.00	59.50	0.00	59.10	58.80
449	Université de Sherbrooke		30.40	0.00	0.00	66.80	0.00	71.50	16.60	0.00	0.00	0.00	0.00	0.00
450	Université Panthéon-Assas (Paris 2)		30.30	0.00	46.40	74.50	0.00	78.80	1.10	0.00	0.00	0.00	0.00	0.00
451	University of Delhi		30.30	51.40	75.10	5.20	0.00	2.30	4.80	0.00	57.30	51.90	63.00	62.00
452	Abo Akademi University		30.10	0.00	0.00	54.20	33.30	30.60	24.20	45.10	58.80	0.00	0.00	54.60
453	Czech Technical University In Prague		30.10	0.00	54.10	42.60	10.90	33.20	7.70	0.00	65.00	0.00	0.00	0.00
454	Leibniz Universität Hannover		29.90	0.00	39.30	6.30	17.80	40.30	52.90	0.00	60.70	0.00	63.40	0.00
455	Pusan National University		30.20	0.00	0.00	47.50	12.40	11.50	18.50	0.00	57.80	52.80	58.80	0.00
456	Shanghai University		30.00	41.30	41.50	30.70	6.90	3.60	12.70	49.60	59.80	0.00	66.80	55.60
